soi_district_id,source_state_name,source_district_name,source_state_slug,source_district_slug,soi_state_name,soi_district_name,soi_state_slug,soi_district_slug,source_profile_path,district_profile_path,source_metadata_path,district_metadata_path,path_changed
727,Odisha,Jagatsinghpur,odisha,jagatsinghpur,ODISHA,JAGATSINGHPUR,odisha,jagatsinghpur,data/ceew/district_data/odisha/jagatsinghpur/odisha_jagatsinghpur_profile.json,data/ceew/district_data/odisha/jagatsinghpur/odisha_jagatsinghpur_profile.json,data/ceew/district_data/odisha/jagatsinghpur/odisha_jagatsinghpur_metadata_config.json,data/ceew/district_data/odisha/jagatsinghpur/odisha_jagatsinghpur_metadata_config.json,False
728,Odisha,Sundargarh,odisha,sundargarh,ODISHA,SUNDARGARH,odisha,sundargarh,data/ceew/district_data/odisha/sundargarh/odisha_sundargarh_profile.json,data/ceew/district_data/odisha/sundargarh/odisha_sundargarh_profile.json,data/ceew/district_data/odisha/sundargarh/odisha_sundargarh_metadata_config.json,data/ceew/district_data/odisha/sundargarh/odisha_sundargarh_metadata_config.json,False
729,Odisha,Bhadrak,odisha,bhadrak,ODISHA,BHADRAK,odisha,bhadrak,data/ceew/district_data/odisha/bhadrak/odisha_bhadrak_profile.json,data/ceew/district_data/odisha/bhadrak/odisha_bhadrak_profile.json,data/ceew/district_data/odisha/bhadrak/odisha_bhadrak_metadata_config.json,data/ceew/district_data/odisha/bhadrak/odisha_bhadrak_metadata_config.json,False
730,Odisha,Koraput,odisha,koraput,ODISHA,KORAPUT,odisha,koraput,data/ceew/district_data/odisha/koraput/odisha_koraput_profile.json,data/ceew/district_data/odisha/koraput/odisha_koraput_profile.json,data/ceew/district_data/odisha/koraput/odisha_koraput_metadata_config.json,data/ceew/district_data/odisha/koraput/odisha_koraput_metadata_config.json,False
731,Odisha,Deogarh,odisha,deogarh,ODISHA,DEOGARH,odisha,deogarh,data/ceew/district_data/odisha/deogarh/odisha_deogarh_profile.json,data/ceew/district_data/odisha/deogarh/odisha_deogarh_profile.json,data/ceew/district_data/odisha/deogarh/odisha_deogarh_metadata_config.json,data/ceew/district_data/odisha/deogarh/odisha_deogarh_metadata_config.json,False
732,Odisha,Baudh (Bauda),odisha,baudh_bauda,ODISHA,BAUDH (BAUDA),odisha,baudh_bauda,data/ceew/district_data/odisha/baudh_bauda/odisha_baudh_bauda_profile.json,data/ceew/district_data/odisha/baudh_bauda/odisha_baudh_bauda_profile.json,data/ceew/district_data/odisha/baudh_bauda/odisha_baudh_bauda_metadata_config.json,data/ceew/district_data/odisha/baudh_bauda/odisha_baudh_bauda_metadata_config.json,False
733,Odisha,Ganjam,odisha,ganjam,ODISHA,GANJAM,odisha,ganjam,data/ceew/district_data/odisha/ganjam/odisha_ganjam_profile.json,data/ceew/district_data/odisha/ganjam/odisha_ganjam_profile.json,data/ceew/district_data/odisha/ganjam/odisha_ganjam_metadata_config.json,data/ceew/district_data/odisha/ganjam/odisha_ganjam_metadata_config.json,False
734,Odisha,Nayagarh,odisha,nayagarh,ODISHA,NAYAGARH,odisha,nayagarh,data/ceew/district_data/odisha/nayagarh/odisha_nayagarh_profile.json,data/ceew/district_data/odisha/nayagarh/odisha_nayagarh_profile.json,data/ceew/district_data/odisha/nayagarh/odisha_nayagarh_metadata_config.json,data/ceew/district_data/odisha/nayagarh/odisha_nayagarh_metadata_config.json,False
735,Odisha,Kalahandi,odisha,kalahandi,ODISHA,KALAHANDI,odisha,kalahandi,data/ceew/district_data/odisha/kalahandi/odisha_kalahandi_profile.json,data/ceew/district_data/odisha/kalahandi/odisha_kalahandi_profile.json,data/ceew/district_data/odisha/kalahandi/odisha_kalahandi_metadata_config.json,data/ceew/district_data/odisha/kalahandi/odisha_kalahandi_metadata_config.json,False
736,Odisha,Rayagarha,odisha,rayagarha,ODISHA,RAYAGARHA,odisha,rayagarha,data/ceew/district_data/odisha/rayagarha/odisha_rayagarha_profile.json,data/ceew/district_data/odisha/rayagarha/odisha_rayagarha_profile.json,data/ceew/district_data/odisha/rayagarha/odisha_rayagarha_metadata_config.json,data/ceew/district_data/odisha/rayagarha/odisha_rayagarha_metadata_config.json,False
737,Odisha,Nuaparha,odisha,nuaparha,ODISHA,NUAPARHA,odisha,nuaparha,data/ceew/district_data/odisha/nuaparha/odisha_nuaparha_profile.json,data/ceew/district_data/odisha/nuaparha/odisha_nuaparha_profile.json,data/ceew/district_data/odisha/nuaparha/odisha_nuaparha_metadata_config.json,data/ceew/district_data/odisha/nuaparha/odisha_nuaparha_metadata_config.json,False
738,Odisha,Subarnapur,odisha,subarnapur,ODISHA,SUBARNAPUR,odisha,subarnapur,data/ceew/district_data/odisha/subarnapur/odisha_subarnapur_profile.json,data/ceew/district_data/odisha/subarnapur/odisha_subarnapur_profile.json,data/ceew/district_data/odisha/subarnapur/odisha_subarnapur_metadata_config.json,data/ceew/district_data/odisha/subarnapur/odisha_subarnapur_metadata_config.json,False
739,Odisha,Dhenkanal,odisha,dhenkanal,ODISHA,DHENKANAL,odisha,dhenkanal,data/ceew/district_data/odisha/dhenkanal/odisha_dhenkanal_profile.json,data/ceew/district_data/odisha/dhenkanal/odisha_dhenkanal_profile.json,data/ceew/district_data/odisha/dhenkanal/odisha_dhenkanal_metadata_config.json,data/ceew/district_data/odisha/dhenkanal/odisha_dhenkanal_metadata_config.json,False
740,Odisha,Jharsuguda,odisha,jharsuguda,ODISHA,JHARSUGUDA,odisha,jharsuguda,data/ceew/district_data/odisha/jharsuguda/odisha_jharsuguda_profile.json,data/ceew/district_data/odisha/jharsuguda/odisha_jharsuguda_profile.json,data/ceew/district_data/odisha/jharsuguda/odisha_jharsuguda_metadata_config.json,data/ceew/district_data/odisha/jharsuguda/odisha_jharsuguda_metadata_config.json,False
741,Odisha,Nabarangapur,odisha,nabarangapur,ODISHA,NABARANGAPUR,odisha,nabarangapur,data/ceew/district_data/odisha/nabarangapur/odisha_nabarangapur_profile.json,data/ceew/district_data/odisha/nabarangapur/odisha_nabarangapur_profile.json,data/ceew/district_data/odisha/nabarangapur/odisha_nabarangapur_metadata_config.json,data/ceew/district_data/odisha/nabarangapur/odisha_nabarangapur_metadata_config.json,False
742,Odisha,Sambalpur,odisha,sambalpur,ODISHA,SAMBALPUR,odisha,sambalpur,data/ceew/district_data/odisha/sambalpur/odisha_sambalpur_profile.json,data/ceew/district_data/odisha/sambalpur/odisha_sambalpur_profile.json,data/ceew/district_data/odisha/sambalpur/odisha_sambalpur_metadata_config.json,data/ceew/district_data/odisha/sambalpur/odisha_sambalpur_metadata_config.json,False
743,Odisha,Malkangiri,odisha,malkangiri,ODISHA,MALKANGIRI,odisha,malkangiri,data/ceew/district_data/odisha/malkangiri/odisha_malkangiri_profile.json,data/ceew/district_data/odisha/malkangiri/odisha_malkangiri_profile.json,data/ceew/district_data/odisha/malkangiri/odisha_malkangiri_metadata_config.json,data/ceew/district_data/odisha/malkangiri/odisha_malkangiri_metadata_config.json,False
